
> alfi@0.0.0 dev
> vite --host 127.0.0.1 --port 5179
4:32:30 PM [vite] page reload dist/index.html
4:32:30 PM [vite] page reload dist/index.html
4:32:41 PM [vite] page reload index.html
4:33:53 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:34:00 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:34:10 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:34:33 PM [vite] page reload dist/index.html
4:34:39 PM [vite] page reload index.html
4:47:21 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:47:30 PM [vite] page reload dist/index.html
4:47:30 PM [vite] page reload index.html
4:48:37 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:48:40 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:49:01 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:49:08 PM [vite] page reload index.html
4:49:15 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:49:29 PM [vite] page reload dist/index.html
4:49:29 PM [vite] page reload index.html
4:50:27 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:50:51 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:50:57 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:51:07 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:51:20 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:51:32 PM [vite] page reload dist/index.html
4:51:33 PM [vite] page reload index.html
4:52:39 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:52:52 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:52:58 PM [vite] page reload src/theme.ts
4:53:13 PM [vite] page reload dist/index.html
4:53:13 PM [vite] page reload index.html
5:10:52 PM [vite] page reload index.html
5:11:48 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:12:06 PM [vite] page reload dist/index.html
5:13:02 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:13:06 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:13:11 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:13:25 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:13:50 PM [vite] page reload dist/index.html
5:14:28 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:14:33 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:14:47 PM [vite] page reload dist/index.html
5:19:09 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:19:25 PM [vite] page reload dist/index.html
5:22:28 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:23:10 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:23:35 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:32:24 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:33:24 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:33:51 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:33:55 PM [vite] page reload src/theme.ts
5:34:01 PM [vite] page reload src/theme.ts
5:34:41 PM [vite] hmr update /src/components/Logo.tsx
5:34:49 PM [vite] hmr update /src/dashboard/Dashboard.tsx
